frame,quality,det_H,reproj_error_px,frames_since_valid,warmed_up,proc_time_ms
0,0.25,5.563043e+00,0.0,0,0,824.13
1,0.25,7.237891e+00,0.0,0,0,344.72
2,0.25,6.837308e+00,0.0,0,0,327.91
3,0.25,6.295059e+00,0.0,0,0,342.32
4,0.25,6.226289e+00,0.0,0,0,336.18
5,0.25,6.461076e+00,0.0,0,1,331.63
6,0.25,6.621370e+00,0.0,0,1,331.07
7,0.25,6.737741e+00,0.0,0,1,327.24
8,0.25,6.826055e+00,0.0,0,1,327.99
9,0.25,7.031401e+00,0.0,0,1,328.24
10,0.25,7.198780e+00,0.0,0,1,328.74
11,0.25,7.500481e+00,0.0,0,1,327.53
12,0.25,7.745344e+00,0.0,0,1,326.79
13,0.25,7.904313e+00,0.0,0,1,326.41
14,0.25,7.627551e+00,0.0,0,1,324.11
15,0.25,7.392886e+00,0.0,0,1,324.91
16,0.25,7.515667e+00,0.0,0,1,326.88
17,0.25,7.625161e+00,0.0,0,1,325.06
18,0.25,7.723404e+00,0.0,0,1,326.11
19,0.25,7.757282e+00,0.0,0,1,327.95
20,0.25,7.787863e+00,0.0,0,1,325.77
21,0.25,7.815607e+00,0.0,0,1,327.12
22,0.25,7.788854e+00,0.0,0,1,325.77
23,0.25,7.764477e+00,0.0,0,1,327.29
24,0.25,7.742173e+00,0.0,0,1,325.83
25,0.25,7.761221e+00,0.0,0,1,331.31
26,0.25,7.778833e+00,0.0,0,1,327.2
27,0.25,7.795166e+00,0.0,0,1,327.02
28,0.25,7.627465e+00,0.0,0,1,326.4
29,0.25,7.473492e+00,0.0,0,1,355.92
30,0.25,7.331654e+00,0.0,0,1,344.44
31,0.25,7.236978e+00,0.0,0,1,347.22
32,0.25,7.148955e+00,0.0,0,1,342.31
33,0.25,7.033263e+00,0.0,0,1,340.01
34,0.25,6.989736e+00,0.0,0,1,329.72
35,0.25,6.974519e+00,0.0,0,1,335.09
36,0.25,6.968182e+00,0.0,0,1,327.54
37,0.25,7.133241e+00,0.0,0,1,330.58
38,0.25,7.311324e+00,0.0,0,1,328.19
39,0.25,7.497335e+00,0.0,0,1,330.22
40,0.25,7.569645e+00,0.0,0,1,325.66
41,0.25,7.638861e+00,0.0,0,1,326.66
42,0.25,7.638861e+00,0.0,0,1,326.49
43,0.25,7.638861e+00,0.0,0,1,325.22
44,0.25,7.638861e+00,0.0,0,1,326.74
45,0.25,7.638861e+00,0.0,0,1,328.06
46,0.25,7.782561e+00,0.0,0,1,326.17
47,0.25,7.939940e+00,0.0,0,1,322.32
48,0.25,7.893135e+00,0.0,0,1,327.53
49,0.25,8.020193e+00,0.0,0,1,327.09
50,0.25,8.192541e+00,0.0,0,1,329.67
51,0.25,8.234241e+00,0.0,0,1,328.59
52,0.25,8.317081e+00,0.0,0,1,327.27
53,0.25,8.465095e+00,0.0,0,1,333.51
54,0.25,8.465095e+00,0.0,0,1,326.14
55,0.25,8.499949e+00,0.0,0,1,329.67
56,0.25,8.463199e+00,0.0,0,1,331.08
57,0.25,8.646871e+00,0.0,0,1,327.09
58,0.25,8.726293e+00,0.0,0,1,328.7
59,0.25,8.835020e+00,0.0,0,1,332.91
60,0.25,8.772414e+00,0.0,0,1,326.88
61,0.25,8.772414e+00,0.0,0,1,328.89
62,0.25,8.772414e+00,0.0,0,1,329.25
63,0.25,8.536017e+00,0.0,0,1,327.51
64,0.25,8.472703e+00,0.0,0,1,327.66
65,0.25,8.358345e+00,0.0,0,1,327.14
66,0.25,8.407785e+00,0.0,0,1,328.78
67,0.25,8.327237e+00,0.0,0,1,326.53
68,0.25,8.191402e+00,0.0,0,1,330.53
69,0.25,8.104034e+00,0.0,0,1,326.63
70,0.25,8.057474e+00,0.0,0,1,326.24
71,0.25,8.078043e+00,0.0,0,1,328.39
72,0.25,7.940900e+00,0.0,0,1,326.41
73,0.25,8.016642e+00,0.0,0,1,328.78
74,0.25,8.143541e+00,0.0,0,1,327.24
75,0.25,8.043609e+00,0.0,0,1,327.28
76,0.25,7.905376e+00,0.0,0,1,328.56
77,0.25,8.010221e+00,0.0,0,1,330.64
78,0.25,7.851998e+00,0.0,0,1,328.09
79,0.25,7.674196e+00,0.0,0,1,328.39
80,0.25,7.602834e+00,0.0,0,1,328.16
81,0.25,7.541479e+00,0.0,0,1,343.85
82,0.25,7.690152e+00,0.0,0,1,331.62
83,0.25,7.663608e+00,0.0,0,1,329.1
84,0.25,7.778076e+00,0.0,0,1,329.24
85,0.25,7.770455e+00,0.0,0,1,336.11
86,0.25,7.870689e+00,0.0,0,1,334.4
87,0.25,7.874764e+00,0.0,0,1,338.21
88,0.25,7.829270e+00,0.0,0,1,330.26
89,0.25,7.703933e+00,0.0,0,1,333.76
90,0.25,7.642892e+00,0.0,0,1,330.47
91,0.25,7.560073e+00,0.0,0,1,330.03
92,0.25,7.410679e+00,0.0,0,1,330.21
93,0.25,7.263094e+00,0.0,0,1,329.77
94,0.25,7.136120e+00,0.0,0,1,328.58
95,0.25,6.966431e+00,0.0,0,1,328.2
96,0.25,6.803086e+00,0.0,0,1,328.55
97,0.25,6.634435e+00,0.0,0,1,327.28
98,0.25,6.473794e+00,0.0,0,1,325.72
99,0.25,6.327891e+00,0.0,0,1,327.43
