frame,quality,det_H,reproj_error_px,frames_since_valid,warmed_up,proc_time_ms
0,0.25,1.739948e-02,0.0,0,0,755.77
1,0.25,1.668731e-02,0.0,0,0,332.61
2,0.25,1.667354e-02,0.0,0,0,320.76
3,0.25,1.666884e-02,0.0,0,0,323.54
4,0.25,1.674386e-02,0.0,0,0,324.56
5,0.25,1.678920e-02,0.0,0,1,320.74
6,0.25,1.682817e-02,0.0,0,1,319.2
7,0.25,1.685610e-02,0.0,0,1,323.92
8,0.25,1.693552e-02,0.0,0,1,322.17
9,0.25,1.699741e-02,0.0,0,1,322.2
10,0.25,1.704420e-02,0.0,0,1,325.4
11,0.25,1.709080e-02,0.0,0,1,322.67
12,0.25,1.712971e-02,0.0,0,1,327.73
13,0.25,1.713684e-02,0.0,0,1,320.9
14,0.25,1.714295e-02,0.0,0,1,319.15
15,0.25,1.714825e-02,0.0,0,1,319.33
16,0.25,1.715947e-02,0.0,0,1,321.36
17,0.25,1.716937e-02,0.0,0,1,320.53
18,0.25,1.716800e-02,0.0,0,1,319.18
19,0.25,1.716676e-02,0.0,0,1,319.49
20,0.25,1.717290e-02,0.0,0,1,322.26
21,0.25,1.717846e-02,0.0,0,1,320.9
22,0.25,1.718351e-02,0.0,0,1,320.89
23,0.25,1.714572e-02,0.0,0,1,321.31
24,0.25,1.711112e-02,0.0,0,1,323.4
25,0.25,1.708530e-02,0.0,0,1,318.34
26,0.25,1.706149e-02,0.0,0,1,319.01
27,0.25,1.703945e-02,0.0,0,1,319.1
28,0.25,1.702468e-02,0.0,0,1,321.98
29,0.25,1.701093e-02,0.0,0,1,322.47
30,0.25,1.698562e-02,0.0,0,1,323.02
31,0.25,1.696197e-02,0.0,0,1,323.12
32,0.25,1.692252e-02,0.0,0,1,323.89
33,0.25,1.688551e-02,0.0,0,1,323.44
34,0.25,1.685073e-02,0.0,0,1,324.18
35,0.25,1.681479e-02,0.0,0,1,331.99
36,0.25,1.678088e-02,0.0,0,1,322.42
37,0.25,1.675220e-02,0.0,0,1,321.72
38,0.25,1.672506e-02,0.0,0,1,323.13
39,0.25,1.669933e-02,0.0,0,1,321.55
40,0.25,1.668559e-02,0.0,0,1,322.92
41,0.25,1.667252e-02,0.0,0,1,324.25
42,0.25,1.664917e-02,0.0,0,1,320.6
43,0.25,1.662655e-02,0.0,0,1,325.41
44,0.25,1.657969e-02,0.0,0,1,325.05
45,0.25,1.653499e-02,0.0,0,1,322.16
46,0.25,1.649230e-02,0.0,0,1,321.48
47,0.25,1.644420e-02,0.0,0,1,320.61
48,0.25,1.639818e-02,0.0,0,1,321.14
49,0.25,1.636775e-02,0.0,0,1,322.61
50,0.25,1.633857e-02,0.0,0,1,325.58
51,0.25,1.631057e-02,0.0,0,1,322.56
52,0.25,1.628204e-02,0.0,0,1,321.1
53,0.25,1.625462e-02,0.0,0,1,324.93
54,0.25,1.623518e-02,0.0,0,1,320.95
55,0.25,1.621645e-02,0.0,0,1,320.44
56,0.25,1.618984e-02,0.0,0,1,320.05
57,0.25,1.616582e-02,0.0,0,1,323.41
58,0.25,1.614266e-02,0.0,0,1,322.34
59,0.25,1.610761e-02,0.0,0,1,321.95
60,0.25,1.607377e-02,0.0,0,1,321.47
61,0.25,1.604814e-02,0.0,0,1,323.42
62,0.25,1.602336e-02,0.0,0,1,321.77
63,0.25,1.599939e-02,0.0,0,1,321.52
64,0.25,1.596833e-02,0.0,0,1,322.5
65,0.25,1.593827e-02,0.0,0,1,324.35
66,0.25,1.591091e-02,0.0,0,1,320.35
67,0.25,1.588441e-02,0.0,0,1,321.12
68,0.25,1.586138e-02,0.0,0,1,321.59
69,0.25,1.583903e-02,0.0,0,1,323.52
70,0.25,1.581735e-02,0.0,0,1,322.4
71,0.25,1.579038e-02,0.0,0,1,320.64
72,0.25,1.576419e-02,0.0,0,1,325.02
73,0.25,1.573696e-02,0.0,0,1,322.8
74,0.25,1.571050e-02,0.0,0,1,326.85
75,0.25,1.568477e-02,0.0,0,1,323.82
76,0.25,1.566104e-02,0.0,0,1,322.25
77,0.25,1.563795e-02,0.0,0,1,322.99
78,0.25,1.561766e-02,0.0,0,1,318.98
79,0.25,1.559791e-02,0.0,0,1,321.27
